"","Scenario","Algorithm","n_value","number_of_all_ncs_value","n_iterations","n_permutations","number_of_good_ncs_value","alpha_value","single_nc_power","ntree","rejection rate"
"1","Interactions","Bonf","200","10","5","12","2","0","0.5","10","0.2"
"2","Interactions","Bonf","200","10","5","12","3","0","0.5","10","0.2"
"3","Interactions","Bonf","200","10","5","12","4","0","0.5","10","0"
"4","Interactions","Bonf","200","10","5","12","2","1","0.5","10","1"
"5","Interactions","Bonf","200","10","5","12","3","1","0.5","10","0.8"
"6","Interactions","Bonf","200","10","5","12","4","1","0.5","10","1"
"7","Interactions","F test","200","10","5","12","2","0","0.5","10","0"
"8","Interactions","F test","200","10","5","12","3","0","0.5","10","0"
"9","Interactions","F test","200","10","5","12","4","0","0.5","10","0"
"10","Interactions","F test","200","10","5","12","2","1","0.5","10","1"
"11","Interactions","F test","200","10","5","12","3","1","0.5","10","1"
"12","Interactions","F test","200","10","5","12","4","1","0.5","10","1"
"13","Interactions","SUR","200","10","5","12","2","0","0.5","10","0"
"14","Interactions","SUR","200","10","5","12","3","0","0.5","10","0.2"
"15","Interactions","SUR","200","10","5","12","4","0","0.5","10","0"
"16","Interactions","SUR","200","10","5","12","2","1","0.5","10","0.8"
"17","Interactions","SUR","200","10","5","12","3","1","0.5","10","1"
"18","Interactions","SUR","200","10","5","12","4","1","0.5","10","1"
"19","Interactions","RF","200","10","5","12","2","0","0.5","10","0"
"20","Interactions","RF","200","10","5","12","3","0","0.5","10","0"
"21","Interactions","RF","200","10","5","12","4","0","0.5","10","0.2"
"22","Interactions","RF","200","10","5","12","2","1","0.5","10","0.4"
"23","Interactions","RF","200","10","5","12","3","1","0.5","10","0.4"
"24","Interactions","RF","200","10","5","12","4","1","0.5","10","0.6"
"25","Interactions","Bagging","200","10","5","12","2","0","0.5","10","0"
"26","Interactions","Bagging","200","10","5","12","3","0","0.5","10","0"
"27","Interactions","Bagging","200","10","5","12","4","0","0.5","10","0.2"
"28","Interactions","Bagging","200","10","5","12","2","1","0.5","10","0.6"
"29","Interactions","Bagging","200","10","5","12","3","1","0.5","10","0.6"
"30","Interactions","Bagging","200","10","5","12","4","1","0.5","10","0.8"
